正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
100.0,1951,18.6395,84.9525,4月,优化区-枚举月末库容,703.96,100.0,532.2954,94.8751,3909.0,4080.6646,849524.7706,0.0,620153082.5672
100.0,1951,18.6395,84.9525,5月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,2995.0,2243.0958,801139.8134,750.2465,584832063.7744
100.0,1951,18.6395,84.9525,6月,汛限线附近-满发,532.2954,94.8751,218.3944,82.35,1931.3,2245.201,711952.9303,0.0,519725639.1017
100.0,1951,18.6395,84.9525,7月,低于防破坏线-保证出力,218.3944,82.35,532.2954,94.8751,2901.7,589.8965,198681.3973,1996.2448,145037420.0221
100.0,1951,18.6395,84.9525,8月,低于防破坏线-保证出力,532.2954,94.8751,429.2967,91.8001,480.3,581.1374,211405.829,0.0,154326255.17
100.0,1951,18.6395,84.9525,9月,低于防破坏线-保证出力,429.2967,91.8001,448.9155,92.3858,619.5,599.4433,211405.829,0.0,154326255.17
100.0,1951,18.6395,84.9525,10月,低于防破坏线-保证出力,448.9155,92.3858,703.96,100.0,1331.0,544.292,211405.829,531.6635,154326255.17
100.0,1951,18.6395,84.9525,11月,低于防破坏线-保证出力,703.96,100.0,703.96,100.0,673.0,501.3156,211405.829,171.6844,154326255.17
100.0,1951,18.6395,84.9525,12月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,1160.0,1160.0,477677.027,0.0,348704229.7297
100.0,1951,18.6395,84.9525,1月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,658.7,658.7,275874.8238,0.0,201388621.3521
100.0,1951,18.6395,84.9525,2月,优化区-枚举月末库容,703.96,100.0,448.9155,92.3858,1127.7,1382.7445,521117.322,0.0,380415645.0801
100.0,1951,18.6395,84.9525,3月,优化区-枚举月末库容,448.9155,92.3858,703.96,100.0,2568.6,2313.5555,849524.7706,0.0,620153082.5672
100.0,1952,18.6395,84.9525,4月,优化区-枚举月末库容,703.96,100.0,429.2967,91.8001,2001.0,2275.6633,831419.423,0.0,606936178.7785
100.0,1952,18.6395,84.9525,5月,汛限线附近-满发,429.2967,91.8001,532.2954,94.8751,5399.3,2328.3929,799299.9017,2966.2506,583488928.2129
100.0,1952,18.6395,84.9525,6月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,3781.3,2243.0958,801139.8134,1536.5465,584832063.7744
100.0,1952,18.6395,84.9525,7月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,3677.0,2243.0958,801139.8134,1432.2465,584832063.7744
100.0,1952,18.6395,84.9525,8月,低于防破坏线-保证出力,532.2954,94.8751,532.2954,94.8751,4378.3,529.43,199985.699,3847.2124,145989560.2646
100.0,1952,18.6395,84.9525,9月,低于防破坏线-保证出力,532.2954,94.8751,703.96,100.0,2768.3,529.43,211405.829,2067.2055,154326255.17
100.0,1952,18.6395,84.9525,10月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,2659.7,2659.7,849524.7706,0.0,620153082.5672
100.0,1952,18.6395,84.9525,11月,低于防破坏线-保证出力,703.96,100.0,703.96,100.0,1018.3,501.3156,211405.829,516.9844,154326255.17
100.0,1952,18.6395,84.9525,12月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,693.3,693.3,289958.0964,0.0,211669410.3501
100.0,1952,18.6395,84.9525,1月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,580.3,580.3,243812.987,0.0,177983480.4881
100.0,1952,18.6395,84.9525,2月,优化区-枚举月末库容,703.96,100.0,414.5826,91.3608,833.0,1122.3774,421459.7391,0.0,307665609.5307
100.0,1952,18.6395,84.9525,3月,优化区-枚举月末库容,414.5826,91.3608,703.96,100.0,3003.7,2714.3226,849524.7706,0.0,620153082.5672
100.0,1953,18.6395,84.9525,4月,优化区-枚举月末库容,703.96,100.0,532.2954,94.8751,2478.0,2649.6646,849524.7706,0.0,620153082.5672
100.0,1953,18.6395,84.9525,5月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,3517.3,2243.0958,801139.8134,1272.5465,584832063.7744
100.0,1953,18.6395,84.9525,6月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,2864.3,2243.0958,801139.8134,619.5465,584832063.7744
100.0,1953,18.6395,84.9525,7月,汛限线附近-满发,532.2954,94.8751,218.3944,82.35,1665.0,1978.901,632486.2811,0.0,461714985.1899
100.0,1953,18.6395,84.9525,8月,低于防破坏线-保证出力,218.3944,82.35,414.5826,91.3608,875.3,681.3421,211405.829,0.0,154326255.17
100.0,1953,18.6395,84.9525,9月,低于防破坏线-保证出力,414.5826,91.3608,703.96,100.0,1020.3,550.625,211405.829,180.2975,154326255.17
100.0,1953,18.6395,84.9525,10月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,2286.4,2286.4,849524.7706,0.0,620153082.5672
100.0,1953,18.6395,84.9525,11月,低于防破坏线-保证出力,703.96,100.0,703.96,100.0,2395.0,501.3156,211405.829,1893.6844,154326255.17
100.0,1953,18.6395,84.9525,12月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,847.6,847.6,352442.3816,0.0,257282938.568
100.0,1953,18.6395,84.9525,1月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,1449.3,1449.3,591991.9478,0.0,432154121.8575
100.0,1953,18.6395,84.9525,2月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,1085.7,1085.7,448066.8032,0.0,327088766.3416
100.0,1953,18.6395,84.9525,3月,优化区-枚举月末库容,703.96,100.0,537.2001,95.0215,1072.0,1238.7599,482778.465,0.0,352428279.4198
100.0,1954,18.6395,84.9525,4月,优化区-枚举月末库容,537.2001,95.0215,532.2954,94.8751,3461.7,3466.6047,849524.7706,0.0,620153082.5672
100.0,1954,18.6395,84.9525,5月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,5833.7,2243.0958,801139.8134,3588.9465,584832063.7744
100.0,1954,18.6395,84.9525,6月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,6961.0,2243.0958,801139.8134,4716.2465,584832063.7744
100.0,1954,18.6395,84.9525,7月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,9361.7,2243.0958,801139.8134,7116.9465,584832063.7744
100.0,1954,18.6395,84.9525,8月,低于防破坏线-保证出力,532.2954,94.8751,532.2954,94.8751,5366.7,529.43,199985.699,4835.6124,145989560.2646
100.0,1954,18.6395,84.9525,9月,低于防破坏线-保证出力,532.2954,94.8751,703.96,100.0,868.0,529.43,211405.829,166.9055,154326255.17
100.0,1954,18.6395,84.9525,10月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,546.3,546.3,229843.6518,0.0,167785865.7921
100.0,1954,18.6395,84.9525,11月,低于防破坏线-保证出力,703.96,100.0,591.1518,96.6322,407.7,519.2173,211405.829,0.0,154326255.17
100.0,1954,18.6395,84.9525,12月,低于防破坏线-保证出力,591.1518,96.6322,448.9155,92.3858,423.7,565.6071,211405.829,0.0,154326255.17
100.0,1954,18.6395,84.9525,1月,低于防破坏线-保证出力,448.9155,92.3858,218.3944,82.35,407.7,638.221,203531.7298,0.0,148578162.7326
100.0,1954,18.6395,84.9525,2月,低于防破坏线-保证出力,218.3944,82.35,218.3944,82.35,596.4,596.4,160939.2557,0.0,117485656.6464
